Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status,Year
1,12,Dario Šarić,PF,Croatia,Orlando Magic,Cibona Zagreb (Croatia),Yes,Playing Internationally,2014
1,13,Zach LaVine,SG,United States,Minnesota Timberwolves,UCLA,No,College Freshman,2014
1,14,T. J. Warren,SF,United States,Phoenix Suns,North Carolina State,No,College Sophmore,2014
1,15,Adreian Payne,PF,United States,Atlanta Hawks,Michigan State,No,College Senior,2014
1,16,Jusuf Nurkić,C,Bosnia and Herzegovina,Chicago Bulls,Cedevita Zagreb (Croatia),Yes,Playing Internationally,2014
1,17,James Young,SG/SF,United States,Boston Celtics,Kentucky,Yes,College Freshman,2014
1,18,Tyler Ennis,PG,Canada,Phoenix Suns,Syracuse,Yes,College Freshman,2014
1,19,Gary Harris,SG,United States,Chicago Bulls,Michigan State,Yes,College Sophmore,2014
1,20,Bruno Caboclo,SF,Brazil,Toronto Raptors,EC Pinheiros (Brazil),No,Playing Internationally,2014
1,21,Mitch McGary,PF,United States,Oklahoma City Thunder,Michigan,Yes,College Sophmore,2014
1,22,Jordan Adams,SG,United States,Memphis Grizzlies,UCLA,No,College Sophmore,2014
1,23,Rodney Hood,SG,United States,Utah Jazz,Duke,Yes,College Sophmore,2014
1,24,Shabazz Napier,PG,United States,Charlotte Hornets,Connecticut,Yes,College Senior,2014
1,25,Clint Capela,C,Switzerland,Houston Rockets,Élan Chalon,No,College Freshman,2014
1,26,P. J. Hairston,SG,United States,Miami Heat,Texas Legends (NBA D-League),Yes,Playing Internationally,2014
1,27,Bogdan Bogdanović,SG,Serbia,Phoenix Suns,Partizan Belgrade (Serbia),Yes,Playing Internationally,2014
1,28,C. J. Wilcox,SG,United States,Los Angeles Clippers,Washington,No,College Senior,2014
1,29,Josh Huestis,SF/PF,United States,Oklahoma City Thunder,Stanford,No,College Senior,2014
1,30,Kyle Anderson,SF,United States,San Antonio Spurs,UCLA,No,College Sophmore,2014
2,31,Damien Inglis,SF,France,Milwaukee Bucks,Chorale Roanne,No,College Freshman,2014
2,32,K. J. McDaniels,SF,United States,Philadelphia 76ers,Clemson,No,College Junior,2014
2,33,Joe Harris,SG,United States,Cleveland Cavaliers,Virginia,Yes,College Senior,2014
2,34,Cleanthony Early,SF,United States,New York Knicks,Wichita State,Yes,College Senior,2014
2,35,Jarnell Stokes,PF,United States,Utah Jazz,Tennessee,Yes,College Junior,2014
2,36,Johnny O'Bryant III,PF,United States,Milwaukee Bucks,Louisiana State,Yes,College Junior,2014
2,37,DeAndre Daniels,SF,United States,Toronto Raptors,Connecticut,Yes,College Junior,2014
2,38,Spencer Dinwiddie,PG/SG,United States,Detroit Pistons,Colorado,No,College Junior,2014
2,39,Jerami Grant,SF,United States,Philadelphia 76ers,Syracuse,Yes,College Sophmore,2014
2,40,Glenn Robinson III,SF,United States,Minnesota Timberwolves,Michigan,Yes,College Sophmore,2014
2,41,Nikola Jokić,C,Serbia,Denver Nuggets,Mega Vizura (Serbia),No,Playing Internationally,2014
2,42,Nick Johnson,PG/SG,United States,Houston Rockets,Arizona,Yes,College Junior,2014
2,43,Walter Tavares,C,Cape Verde,Atlanta Hawks,CB Gran Canaria (Spain),No,Playing Internationally,2014
2,44,Markel Brown,SG,United States,Minnesota Timberwolves,Oklahoma State,Yes,College Senior,2014
